episodes_cumulative,winrate,agent#
250000,0.375,1
500000,0.47500000000000003,1
750000,0.45,1
1000000,0.35,1
1250000,0.375,1
1500000,0.47500000000000003,1
1750000,0.5,1
2000000,0.35,1
2250000,0.45,1
2500000,0.5,1
2750000,0.5249999999999999,1
3000000,0.5,1
3250000,0.5,1
3500000,0.45,1
3750000,0.6,1
4000000,0.375,1
4250000,0.35,1
4500000,0.45,1
4750000,0.5,1
5000000,0.375,1
250000,0.425,2
500000,0.425,2
750000,0.425,2
1000000,0.325,2
1250000,0.375,2
1500000,0.45000000000000007,2
1750000,0.475,2
2000000,0.575,2
2250000,0.45,2
2500000,0.425,2
2750000,0.375,2
3000000,0.45000000000000007,2
3250000,0.425,2
3500000,0.5,2
3750000,0.5,2
4000000,0.5,2
4250000,0.575,2
4500000,0.475,2
4750000,0.4,2
5000000,0.35,2
250000,0.37500000000000006,3
500000,0.35,3
750000,0.525,3
1000000,0.45,3
1250000,0.47500000000000003,3
1500000,0.47500000000000003,3
1750000,0.5249999999999999,3
2000000,0.5,3
2250000,0.47500000000000003,3
2500000,0.425,3
2750000,0.35,3
3000000,0.575,3
3250000,0.5,3
3500000,0.6,3
3750000,0.37500000000000006,3
4000000,0.37500000000000006,3
4250000,0.425,3
4500000,0.325,3
4750000,0.6,3
5000000,0.475,3
250000,0.425,4
500000,0.425,4
750000,0.575,4
1000000,0.45000000000000007,4
1250000,0.35,4
1500000,0.575,4
1750000,0.45,4
2000000,0.5,4
2250000,0.47500000000000003,4
2500000,0.475,4
2750000,0.4,4
3000000,0.425,4
3250000,0.475,4
3500000,0.55,4
3750000,0.275,4
4000000,0.375,4
4250000,0.45,4
4500000,0.45000000000000007,4
4750000,0.45,4
5000000,0.4,4
250000,0.4,5
500000,0.425,5
750000,0.55,5
1000000,0.425,5
1250000,0.275,5
1500000,0.45,5
1750000,0.575,5
2000000,0.45,5
2250000,0.375,5
2500000,0.3,5
2750000,0.575,5
3000000,0.475,5
3250000,0.325,5
3500000,0.5499999999999999,5
3750000,0.475,5
4000000,0.45,5
4250000,0.55,5
4500000,0.475,5
4750000,0.575,5
5000000,0.47500000000000003,5
