episodes_cumulative,winrate,agent#
250000,0.35,1
500000,0.475,1
750000,0.575,1
1000000,0.47500000000000003,1
1250000,0.4,1
1500000,0.275,1
1750000,0.5249999999999999,1
2000000,0.5,1
2250000,0.5,1
2500000,0.375,1
2750000,0.4,1
3000000,0.4,1
3250000,0.275,1
3500000,0.45,1
3750000,0.4,1
4000000,0.55,1
4250000,0.5,1
4500000,0.425,1
4750000,0.5499999999999999,1
5000000,0.375,1
250000,0.5,2
500000,0.425,2
750000,0.525,2
1000000,0.425,2
1250000,0.45,2
1500000,0.5,2
1750000,0.375,2
2000000,0.525,2
2250000,0.45,2
2500000,0.30000000000000004,2
2750000,0.5,2
3000000,0.5,2
3250000,0.55,2
3500000,0.5,2
3750000,0.6,2
4000000,0.525,2
4250000,0.47500000000000003,2
4500000,0.4,2
4750000,0.45,2
5000000,0.425,2
250000,0.5,3
500000,0.525,3
750000,0.45,3
1000000,0.45,3
1250000,0.525,3
1500000,0.35,3
1750000,0.45000000000000007,3
2000000,0.3,3
2250000,0.3,3
2500000,0.35,3
2750000,0.4,3
3000000,0.4,3
3250000,0.325,3
3500000,0.4,3
3750000,0.55,3
4000000,0.35,3
4250000,0.5249999999999999,3
4500000,0.45,3
4750000,0.4,3
5000000,0.375,3
250000,0.55,4
500000,0.425,4
750000,0.45,4
1000000,0.6,4
1250000,0.275,4
1500000,0.30000000000000004,4
1750000,0.475,4
2000000,0.5249999999999999,4
2250000,0.35,4
2500000,0.375,4
2750000,0.4,4
3000000,0.525,4
3250000,0.45,4
3500000,0.375,4
3750000,0.45,4
4000000,0.45,4
4250000,0.475,4
4500000,0.5,4
4750000,0.42500000000000004,4
5000000,0.575,4
250000,0.47500000000000003,5
500000,0.375,5
750000,0.4,5
1000000,0.375,5
1250000,0.45,5
1500000,0.5249999999999999,5
1750000,0.55,5
2000000,0.425,5
2250000,0.525,5
2500000,0.35,5
2750000,0.425,5
3000000,0.5,5
3250000,0.425,5
3500000,0.375,5
3750000,0.425,5
4000000,0.37500000000000006,5
4250000,0.475,5
4500000,0.425,5
4750000,0.45,5
5000000,0.5,5
