agent_name,iterations, rollout_depth, tree_depth, max_nodes, winrate
MCTSE,2000,150,22,500,0.8
MCTSE,2000,150,22,500,0.5000000000000001
MCTSE,2000,150,22,500,0.4
MCTSE,2000,150,22,500,0.6000000000000001
MCTSE,2000,150,22,500,0.8
MCTSE,2000,150,22,500,0.9
MCTSE,2000,150,22,500,0.5
MCTSE,2000,150,22,500,0.8
MCTSE,2000,150,22,500,0.5
MCTSE,2000,150,22,500,0.7000000000000001
MCTSE,2000,150,22,500,0.8
MCTSE,2000,150,22,500,0.8
MCTSE,2000,150,22,500,0.7000000000000001
MCTSE,2000,150,22,500,0.9
MCTSE,2000,150,22,500,0.7000000000000001
MCTSE,2000,150,22,500,0.6000000000000001
MCTSE,2000,150,22,500,0.8
MCTSE,2000,150,22,500,0.6000000000000001
MCTSE,2000,150,22,500,0.7000000000000001
MCTSE,2000,150,22,500,0.8
MCTSE,2000,175,22,450,0.9
MCTSE,2000,175,22,450,0.5
MCTSE,2000,175,22,450,0.8
MCTSE,2000,175,22,450,0.5
MCTSE,2000,175,22,450,0.5
MCTSE,2000,175,22,450,0.7000000000000001
MCTSE,2000,175,22,450,0.29999999999999993
MCTSE,2000,175,22,450,0.8
MCTSE,2000,175,22,450,0.6000000000000001
MCTSE,2000,175,22,450,0.8
MCTSE,2000,175,22,500,0.4
MCTSE,2000,175,22,500,0.7
MCTSE,2000,175,22,500,0.5
MCTSE,2000,175,22,500,0.5
MCTSE,2000,175,22,500,0.8
MCTSE,2000,175,22,500,0.7000000000000001
MCTSE,2000,175,22,500,0.7000000000000001
MCTSE,2000,175,22,500,0.7000000000000001
MCTSE,2000,175,22,500,0.4
MCTSE,2000,175,22,500,0.8
MCTSE,2000,175,22,500,0.7000000000000001
MCTSE,2000,175,22,500,0.8
MCTSE,2000,175,22,500,0.7000000000000001
MCTSE,2000,175,22,500,0.8
MCTSE,2000,175,22,500,0.30000000000000004
MCTSE,2000,175,22,500,0.7000000000000001
MCTSE,2000,175,22,500,0.8
MCTSE,2000,175,22,500,0.7000000000000001
MCTSE,2000,175,22,500,0.7000000000000001
MCTSE,2000,175,22,500,0.8
MCTSE,2000,125,23,450,0.8
MCTSE,2000,125,23,450,0.6000000000000001
MCTSE,2000,125,23,450,0.6
MCTSE,2000,125,23,450,0.6000000000000001
MCTSE,2000,125,23,450,0.5000000000000001
MCTSE,2000,125,23,450,0.7000000000000001
MCTSE,2000,125,23,450,0.7000000000000001
MCTSE,2000,125,23,450,0.8
MCTSE,2000,125,23,450,0.8
MCTSE,2000,125,23,450,0.7000000000000001
MCTSE,2000,125,23,500,0.7000000000000001
MCTSE,2000,125,23,500,0.9
MCTSE,2000,125,23,500,0.6000000000000001
MCTSE,2000,125,23,500,0.9
MCTSE,2000,125,23,500,0.4000000000000001
MCTSE,2000,125,23,500,0.7000000000000001
MCTSE,2000,125,23,500,0.7
MCTSE,2000,125,23,500,0.6000000000000001
MCTSE,2000,125,23,500,0.8
MCTSE,2000,125,23,500,0.5
MCTSE,2000,125,23,500,0.6000000000000001
MCTSE,2000,125,23,500,0.8
MCTSE,2000,125,23,500,0.6000000000000001
MCTSE,2000,125,23,500,0.8
MCTSE,2000,125,23,500,0.7000000000000001
MCTSE,2000,125,23,500,0.8
MCTSE,2000,125,23,500,0.7
MCTSE,2000,125,23,500,1.0
MCTSE,2000,125,23,500,0.6000000000000001
MCTSE,2000,125,23,500,0.30000000000000004
MCTSE,2000,150,23,450,0.7000000000000001
MCTSE,2000,150,23,450,0.5000000000000001
MCTSE,2000,150,23,450,0.7
MCTSE,2000,150,23,450,0.8
MCTSE,2000,150,23,450,0.7000000000000001
MCTSE,2000,150,23,450,0.7000000000000001
MCTSE,2000,150,23,450,1.0
MCTSE,2000,150,23,450,0.6000000000000001
MCTSE,2000,150,23,450,0.5
MCTSE,2000,150,23,450,0.6000000000000001
MCTSE,2000,150,23,500,0.6000000000000001
MCTSE,2000,150,23,500,0.6000000000000001
MCTSE,2000,150,23,500,0.6000000000000001
MCTSE,2000,150,23,500,0.6000000000000001
MCTSE,2000,150,23,500,0.7000000000000001
MCTSE,2000,150,23,500,0.8
MCTSE,2000,150,23,500,0.6000000000000001
MCTSE,2000,150,23,500,0.7000000000000001
MCTSE,2000,150,23,500,0.7
